location,depth,transect,photo,group,successes,failures,,group
north,dp,t1,t1_8,abiotic,,,,abiotic
north,dp,t1,t1_8,biotic,,,,biotic
north,dp,t1,t1_8,macro,32,68,,macro
north,dp,t1,t1_8,non-reef,7,93,,non-reef
north,dp,t1,t1_8,plob,48,52,,plob
north,dp,t1,t1_8,poci,13,87,,poci
north,dp,t1,t1_8,turf,,,,turf
north,dp,t1,t1_9,abiotic,,,,abiotic
north,dp,t1,t1_9,biotic,,,,biotic
north,dp,t1,t1_9,macro,24,76,,macro
north,dp,t1,t1_9,non-reef,4,96,,non-reef
north,dp,t1,t1_9,plob,51,49,,plob
north,dp,t1,t1_9,poci,4,96,,poci
north,dp,t1,t1_9,turf,17,83,,turf
,,,t2_1,abiotic,,,,abiotic
,,,t2_1,biotic,,,,biotic
,,,t2_1,macro,19,81,,macro
,,,t2_1,non-reef,5,95,,non-reef
,,,t2_1,plob,76,24,,plob
,,,t2_1,poci,,,,poci
,,,t2_1,turf,,,,turf
,,,t2_10,abiotic,,,,abiotic
,,,t2_10,biotic,1,99,,biotic
,,,t2_10,macro,29,71,,macro
,,,t2_10,non-reef,5,95,,non-reef
,,,t2_10,plob,62,38,,plob
,,,t2_10,poci,2,98,,poci
,,,t2_10,turf,1,99,,turf
,,,t2_11,abiotic,,,,abiotic
,,,t2_11,biotic,,,,biotic
,,,t2_11,macro,22,78,,macro
,,,t2_11,non-reef,7,93,,non-reef
,,,t2_11,plob,58,42,,plob
,,,t2_11,poci,,,,poci
,,,t2_11,turf,13,87,,turf
,,,t2_12,abiotic,1,99,,abiotic
,,,t2_12,biotic,,,,biotic
,,,t2_12,macro,14,86,,macro
,,,t2_12,non-reef,15,85,,non-reef
,,,t2_12,plob,68,32,,plob
,,,t2_12,poci,,,,poci
,,,t2_12,turf,2,98,,turf
,,,t2_13,abiotic,7,93,,abiotic
,,,,biotic,,,,biotic
,,,t2_13,macro,16,84,,macro
,,,t2_13,non-reef,6,94,,non-reef
,,,t2_13,plob,68,32,,plob
,,,t2_13,poci,2,98,,poci
,,,t2_13,turf,1,99,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_14,macro,16,84,,macro
,,,t2_14,non-reef,5,95,,non-reef
,,,t2_14,plob,74,26,,plob
,,,,poci,,,,poci
,,,t2_14,turf,5,95,,turf
,,,t2_14,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_15,macro,3,97,,macro
,,,t2_15,non-reef,14,86,,non-reef
,,,t2_15,plob,72,28,,plob
,,,t2_15,poci,3,97,,poci
,,,t2_15,turf,8,92,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_2,macro,7,93,,macro
,,,t2_2,non-reef,3,97,,non-reef
,,,t2_2,plob,90,10,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_3,macro,16,84,,macro
,,,t2_3,non-reef,2,98,,non-reef
,,,t2_3,plob,82,18,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_4,macro,9,91,,macro
,,,t2_4,non-reef,15,85,,non-reef
,,,t2_4,plob,70,30,,plob
,,,,poci,,,,poci
,,,t2_4,turf,6,94,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_5,macro,29,71,,macro
,,,t2_5,non-reef,4,96,,non-reef
,,,t2_5,plob,57,43,,plob
,,,,poci,,,,poci
,,,t2_5,turf,10,90,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_6,macro,25,75,,macro
,,,t2_6,non-reef,5,95,,non-reef
,,,t2_6,plob,69,31,,plob
,,,,poci,,,,poci
,,,t2_6,turf,1,99,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_7,macro,30,70,,macro
,,,t2_7,non-reef,6,94,,non-reef
,,,t2_7,plob,61,39,,plob
,,,,poci,,,,poci
,,,t2_7,turf,3,97,,turf
,,,,abiotic,,,,abiotic
,,,t2_8,biotic,2,98,,biotic
,,,t2_8,macro,19,81,,macro
,,,t2_8,non-reef,8,92,,non-reef
,,,t2_8,plob,58,42,,plob
,,,,poci,,,,poci
,,,t2_8,turf,13,87,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t2_9,macro,48,52,,macro
,,,t2_9,non-reef,15,85,,non-reef
,,,t2_9,plob,21,79,,plob
,,,t2_9,poci,1,99,,poci
,,,t2_9,turf,15,85,,turf
,,,t3_1,abiotic,20,80,,abiotic
,,,,biotic,,,,biotic
,,,t3_1,macro,19,81,,macro
,,,t3_1,non-reef,2,98,,non-reef
,,,t3_1,plob,54,46,,plob
,,,,poci,,,,poci
,,,t3_1,turf,5,95,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t3_10,macro,6,94,,macro
,,,t3_10,non-reef,18,85,,non-reef
,,,t3_10,plob,75,25,,plob
,,,,poci,,,,poci
,,,t3_10,turf,1,99,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t3_11,macro,6,94,,macro
,,,t3_11,non-reef,2,98,,non-reef
,,,t3_11,plob,85,15,,plob
,,,,poci,,,,poci
,,,t3_11,turf,7,93,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t3_12,macro,8,92,,macro
,,,t3_12,non-reef,4,96,,non-reef
,,,t3_12,plob,85,15,,plob
,,,t3_12,poci,1,99,,poci
,,,t3_12,turf,2,98,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t3_13,macro,12,88,,macro
,,,t3_13,non-reef,5,95,,non-reef
,,,t3_13,plob,82,18,,plob
,,,,poci,,,,poci
,,,t3_13,turf,1,99,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t3_14,macro,14,86,,macro
,,,t3_14,non-reef,4,96,,non-reef
,,,t3_14,plob,81,19,,plob
,,,,poci,,,,poci
,,,t3_14,turf,1,99,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t3_15,macro,9,91,,macro
,,,t3_15,non-reef,7,93,,non-reef
,,,t3_15,plob,82,18,,plob
,,,,poci,,,,poci
,,,t3_15,turf,2,98,,turf
,,,t3_2,abiotic,25,75,,abiotic
,,,,biotic,,,,biotic
,,,t3_2,macro,26,74,,macro
,,,t3_2,non-reef,3,97,,non-reef
,,,t3_2,plob,46,54,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,t3_3,abiotic,1,99,,abiotic
,,,,biotic,,,,biotic
,,,t3_3,macro,40,60,,macro
,,,t3_3,non-reef,13,87,,non-reef
,,,t3_3,plob,46,54,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,t3_4,abiotic,4,96,,abiotic
,,,,biotic,,,,biotic
,,,t3_4,macro,17,83,,macro
,,,t3_4,non-reef,3,97,,non-reef
,,,t3_4,plob,31,69,,plob
,,,t3_4,poci,2,98,,poci
,,,t3_4,turf,43,57,,turf
,,,t3_5,abiotic,1,99,,abiotic
,,,,biotic,,,,biotic
,,,t3_5,macro,28,72,,macro
,,,t3_5,non-reef,4,96,,non-reef
,,,t3_5,plob,50,50,,plob
,,,t3_5,poci,3,97,,poci
,,,t3_5,turf,14,86,,turf
,,,,abiotic,,,,abiotic
,,,t3_6,biotic,1,99,,biotic
,,,t3_6,macro,15,85,,macro
,,,t3_6,non-reef,53,47,,non-reef
,,,,plob,,,,plob
,,,t3_6,poci,6,94,,poci
,,,t3_6,turf,25,75,,turf
,,,t3_7,abiotic,2,98,,abiotic
,,,,biotic,,,,biotic
,,,t3_7,macro,12,88,,macro
,,,t3_7,non-reef,4,96,,non-reef
,,,t3_7,plob,82,18,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,t3_8,abiotic,4,96,,abiotic
,,,,biotic,,,,biotic
,,,t3_8,macro,12,88,,macro
,,,t3_8,non-reef,5,95,,non-reef
,,,t3_8,plob,42,58,,plob
,,,,poci,,,,poci
,,,t3_8,turf,37,63,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t3_9,macro,14,86,,macro
,,,t3_9,non-reef,10,90,,non-reef
,,,t3_9,plob,71,29,,plob
,,,t3_9,poci,5,95,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_1,macro,14,86,,macro
,,,t4_1,non-reef,2,98,,non-reef
,,,t4_1,plob,82,18,,plob
,,,t4_1,poci,2,98,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_10,macro,30,70,,macro
,,,t4_10,non-reef,2,98,,non-reef
,,,t4_10,plob,68,32,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_11,macro,9,91,,macro
,,,t4_11,non-reef,3,97,,non-reef
,,,t4_11,plob,87,13,,plob
,,,,poci,,,,poci
,,,t4_11,turf,1,99,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_12,macro,21,79,,macro
,,,t4_12,non-reef,5,95,,non-reef
,,,t4_12,plob,69,31,,plob
,,,t4_12,poci,5,95,,poci
,,,,turf,,,,turf
,,,t4_13,abiotic,3,97,,abiotic
,,,,biotic,,,,biotic
,,,t4_13,macro,14,86,,macro
,,,,non-reef,2,98,,non-reef
,,,t4_13,plob,80,20,,plob
,,,t4_13,poci,1,99,,poci
,,,,turf,,,,turf
,,,t4_14,abiotic,7,93,,abiotic
,,,,biotic,,,,biotic
,,,t4_14,macro,16,84,,macro
,,,t4_14,non-reef,2,98,,non-reef
,,,t4_14,plob,67,33,,plob
,,,,poci,,,,poci
,,,t4_14,turf,8,92,,turf
,,,t4_15,abiotic,55,45,,abiotic
,,,,biotic,,,,biotic
,,,t4_15,macro,15,85,,macro
,,,t4_15,non-reef,23,77,,non-reef
,,,t4_15,plob,3,97,,plob
,,,t4_15,poci,4,96,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_2,macro,20,80,,macro
,,,t4_2,non-reef,1,99,,non-reef
,,,t4_2,plob,79,21,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_3,macro,16,84,,macro
,,,t4_3,non-reef,3,97,,non-reef
,,,t4_3,plob,81,19,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_4,macro,17,83,,macro
,,,t4_4,non-reef,4,96,,non-reef
,,,t4_4,plob,79,21,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,t4_5,abiotic,6,94,,abiotic
,,,t4_5,biotic,1,99,,biotic
,,,t4_5,macro,19,81,,macro
,,,t4_5,non-reef,8,92,,non-reef
,,,t4_5,plob,64,36,,plob
,,,t4_5,poci,2,98,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_6,macro,25,75,,macro
,,,t4_6,non-reef,75,25,,non-reef
,,,,plob,,,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,t4_7,abiotic,7,93,,abiotic
,,,,biotic,,,,biotic
,,,t4_7,macro,20,80,,macro
,,,t4_7,non-reef,8,92,,non-reef
,,,t4_7,plob,65,35,,plob
,,,,poci,,,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_8,macro,15,85,,macro
,,,t4_8,non-reef,8,92,,non-reef
,,,t4_8,plob,76,24,,plob
,,,t4_8,poci,1,99,,poci
,,,,turf,,,,turf
,,,,abiotic,,,,abiotic
,,,,biotic,,,,biotic
,,,t4_9,macro,28,72,,macro
,,,t4_9,non-reef,9,91,,non-reef
,,,t4_9,plob,63,37,,plob
,,,t4_9,poci,1,99,,poci
,,,t4_9,turf,1,99,,turf
